n_superpixels,compactness,regularity,global_regularity,boundary_recall,boundary_recall_std,under_segmentation_error,under_segmentation_error_std,corrected_under_segmentation_error,corrected_under_segmentation_error_std,asa,asa_std,precision,precision_std,contour_density,contour_density_std,explained_variation,explained_variation_std,method,image,execution_time,n_segments_target
200,0.47704439877541416,0.6921983529595593,0.7776488752417114,0.9160592761255353,0.03743279058151826,0.4080983931451222,0.1376960177172116,0.4080983931451222,0.13769601771721163,0.9423177311027778,0.018980338948255727,0.08613043606974748,0.021801847123313088,6.860373243197562,2.1336757793285934,0.9352729385439664,0.019024627101040928,SIT-HSS,100007,12.188617467880249,200
200,0.38001587153637556,0.7008574410522518,0.7871151417222111,0.8935070161813876,0.04968302411282735,0.6312990200840669,0.4197956829070208,0.5513513513513513,0.2809360592111712,0.948907066664076,0.03892051025338539,0.07056818494186207,0.031980279073421276,9.914730449595961,5.4788197793905615,0.9453643866727981,0.03817416619636547,SIT-HSS,100039,22.667105436325073,200
200,0.4871470783893305,0.6945248996089913,0.7873402731884757,0.8053416588402028,0.033599122305245054,0.47851503552438135,0.04851640478370164,0.47851503552438135,0.04851640478370164,0.9383475495625028,0.007370244886388731,0.047198707592891756,0.006302171183907377,7.948657586978131,1.0585499998120054,0.925766518289883,0.0074253759295479565,SIT-HSS,100099,10.349946022033691,200
200,0.5182060850230309,0.7036870763352736,0.7853671502133855,0.9353868837011454,0.029455033233947384,0.5091832306785578,0.12638963533995884,0.5091832306785579,0.12638963533995878,0.9597036288625074,0.011141472181499218,0.08008516102869115,0.02387201803285961,7.7772426141117235,2.281539390623321,0.9563004538682331,0.010689621108410334,SIT-HSS,10081,12.775274991989136,200
200,0.4130977210994102,0.6568466351075644,0.7746586552252855,0.888481025920386,0.013751731866224429,0.5797812190335554,0.0607281991959187,0.5797812190335554,0.06072819919591868,0.9613059500909967,0.00733142210476016,0.06407014681892334,0.00871447595752044,8.050003788790585,0.38381631993860527,0.9574405219265028,0.007284673949077778,SIT-HSS,101027,22.86403727531433,200
200,0.3238638127261096,0.5901634511755506,0.7280660456472189,0.9511801237688536,0.05296764812942451,0.7325805316459522,0.3362926162877844,0.660639071854025,0.19592502252235738,0.9680518045004026,0.02733143288824933,0.09723235861755786,0.014385483695165202,7.498743506669167,1.7601727074426634,0.9665965287034552,0.027549161334244555,SIT-HSS,101084,138.93498015403748,200
200,0.39896877928803887,0.7010112056584409,0.7898774350093715,0.831911862640603,0.020412727638764942,0.8804437795092002,0.3307699576933798,0.8009935168813673,0.2564599526938379,0.925674056515178,0.023335562731585817,0.08287620895434636,0.029102676228679698,6.988733640871923,3.6516079966164177,0.9228696214969887,0.022260841954600083,SIT-HSS,102062,10.58027982711792,200
200,0.3431113929237013,0.712441199234831,0.806019855553539,0.87114170326531,0.03326501135842792,0.538241332633856,0.2004197923671597,0.538241332633856,0.20041979236715973,0.9565961360353883,0.01864316065867449,0.047718532377091775,0.013679795883545228,11.464085806004869,3.3705050700579164,0.9485351868529444,0.016217051120230985,SIT-HSS,103006,144.95487809181213,200
200,0.45068727432018835,0.5943511406636687,0.747686613321074,0.8925172296838377,0.02832491773892757,0.4479415612593183,0.13040663133177222,0.4479415612593182,0.13040663133177216,0.9720646239337828,0.009757521558209586,0.07598532422024079,0.013752157287675332,7.541065832031951,1.9284721733511911,0.9680867383330967,0.009911172349718196,SIT-HSS,103029,132.1964249610901,200
200,0.35268196742791524,0.6528754196389321,0.7579584739822369,0.9300355547971458,0.009703302028487008,0.7414770629723901,0.1592788867051001,0.7414770629723901,0.1592788867051001,0.9511181922396876,0.00765395137079383,0.09893605169340464,0.02407596280344418,6.6990619351333125,2.1581919378362913,0.9471064080877163,0.007506120995326086,SIT-HSS,103078,147.06698870658875,200
